[2026-07-15 13:16:04] SESSION_STARTED | User: admin | Connected from 10.0.0.2:50566
[2026-07-15 13:16:07] AUTH_ATTEMPT | User: bhargav | Authentication attempt
[2026-07-15 13:16:07] LOGIN_SUCCESS | User: bhargav | Login successful
[2026-07-15 13:16:07] SESSION_STARTED | User: bhargav | Connected from 10.0.0.3:48784
[2026-07-15 13:20:08] LOGOUT | User: bhargav | User logged out
[2026-07-15 13:20:08] LOGOUT | User: bhargav | Disconnected
[2026-07-15 13:22:10] AUTH_ATTEMPT | User: bhargav | Authentication attempt
[2026-07-15 13:22:10] LOGIN_FAILED | User: bhargav | Incorrect password. Attempt 1
[2026-07-15 13:22:10] AUTH_FAILED | User: bhargav | Invalid username or password
[2026-07-15 13:22:58] AUTH_ATTEMPT | User: bhargav | Authentication attempt
[2026-07-15 13:22:58] LOGIN_FAILED | User: bhargav | Incorrect password. Attempt 2
[2026-07-15 13:22:58] AUTH_FAILED | User: bhargav | Invalid username or password
[2026-07-15 13:23:04] AUTH_ATTEMPT | User: bhargav | Authentication attempt
[2026-07-15 13:23:04] LOGIN_FAILED | User: bhargav | Incorrect password. Attempt 3
[2026-07-15 13:23:04] AUTH_FAILED | User: bhargav | Invalid username or password
[2026-07-15 13:23:07] AUTH_ATTEMPT | User: bhargav | Authentication attempt
[2026-07-15 13:23:07] LOGIN_FAILED | User: bhargav | Incorrect password. Attempt 4
[2026-07-15 13:23:07] AUTH_FAILED | User: bhargav | Invalid username or password
[2026-07-15 13:23:11] AUTH_ATTEMPT | User: bhargav | Authentication attempt
[2026-07-15 13:23:11] ACCOUNT_BLOCKED | User: bhargav | Blocked for 5.0 minutes due to 5 failed attempts
[2026-07-15 13:23:11] AUTH_FAILED | User: bhargav | Account blocked for 5.0 minutes
